CD_CVM;Company_Name
94;PANATLANTICA S.A.
140;YARA BRASIL FERTILIZANTES
701;BAHEMA EDUCAÇÃO S.A.
906;BCO BRADESCO S.A.
1023;BCO BRASIL S.A.
1120;BCO ESTADO DE SERGIPE S.A. - BANESE
1155;BANESTES S.A. - BCO EST ESPIRITO SANTO
1210;BCO ESTADO DO RIO GRANDE DO SUL S.A.
1325;BCO MERCANTIL DO BRASIL S.A.
1384;BCO ALFA DE INVESTIMENTO S.A.
1520;BARDELLA S.A. INDUSTRIAS MECANICAS EM RECUPERAÇÃO JUDICIAL
1562;BAUMER S.A.
1597;PARTICIPAÇÕES INDUST. DO NORDESTE S.A.
1694;BICICLETAS MONARK S.A.
2100;CAMBUCI S.A.
2429;IRANI PAPEL E EMBALAGEM S.A.
2437;CENTRAIS ELET BRAS S.A. - ELETROBRAS
2453;CIA ENERGETICA DE MINAS GERAIS - CEMIG
2461;CENTRAIS ELET DE SANTA CATARINA S.A.
2577;CESP - CIA ENERGETICA DE SAO PAULO
2909;CIA CACIQUE CAFE SOLUVEL
3069;CIA FERRO LIGAS DA BAHIA - FERBASA
3077;CIA FIACAO TECIDOS CEDRO CACHOEIRA
3115;CIA SEGUROS ALIANCA DA BAHIA
3158;CIA TECIDOS NORTE DE MINAS COTEMINAS
3174;CIA DOCAS DE IMBITUBA
3182;DOCAS INVESTIMENTOS SA
3190;REDE ENERGIA PARTICIPAÇÕES S.A.
3204;CIA ESTADUAL DE TRANSMISSÃO DE ENERGIA ELETRICA - CEEE-T
3298;CIA HABITASUL DE PARTICIPACOES
3328;CIA HIDRO ELÉTRICA DO SÃO FRANCISCO
3336;CIA. IGUAÇU DE CAFÉ SOLÚVEL
3395;CIA INDUSTRIAL CATAGUASES
3549;CIA INDUSTRIAL SCHLOSSER S.A.
3654;CIA MELHORAMENTOS DE SAO PAULO
3891;FINANCEIRA ALFA S.A.- CRED FINANC E INVS
3980;GERDAU S.A.
4030;CIA SIDERURGICA NACIONAL
4057;SOUZA CRUZ SA
4081;CIA TECIDOS SANTANENSE
4146;KARSTEN S.A.
4170;VALE S.A.
4359;ELEKEIROZ S.A.
4448;COBRASMA S.A.
4537;GRAZZIOTIN S.A.
4650;CONFAB INDUSTRIAL SA
4669;GUARARAPES CONFECCOES S.A.
4693;CONSERVAS ODERICH S.A.
4707;CONSORCIO ALFA DE ADMINISTRACAO S.A.
4723;CONSTRUTORA ADOLPHO LINDENBERG S.A.
4774;CONSTRUTORA LIX DA CUNHA S.A.
4820;BRASKEM S.A.
5150;DHB IND E COMERCIO SA
5207;DOHLER S.A.
5258;RAIA DROGASIL S.A.
5312;MUNDIAL S.A. - PRODUTOS DE CONSUMO
5380;ELECTRO ACO ALTONA S.A.
5410;WEG S.A.
5762;ETERNIT S.A. - EM RECUPERAÇÃO JUDICIAL
5770;EUCATEX S.A. INDUSTRIA E COMERCIO
5983;FIACAO E TECELAGEM SAO JOSE SA EM RECUPERACAO JUDICIAL
5991;VICUNHA TEXTIL SA
6173;TAURUS ARMAS S.A.
6211;FRAS-LE S.A.
6343;TUPY S.A.
6505;GRUPO CASAS BAHIA S.A.
6700;HOTEIS OTHON S.A. - EM RECUPERAÇÃO JUDICIAL
6815;IGB ELETRONICA S.A - EM RECUPERACAO JUDICIAL
7510;ROMI S.A.
7544;TEXTIL RENAUXVIEW S.A.
7595;INEPAR S.A. INDUSTRIA E CONSTRUCOES EM RECUPERACAO JUDICIAL
7617;ITAÚSA S.A.
7811;JOAO FORTES ENGENHARIA S.A. - EM RECUPERAÇÃO JUDICIAL
7870;KEPLER WEBER S.A.
8087;LOJAS AMERICANAS S.A.
8133;LOJAS RENNER S.A.
8192;TREVISA INVESTIMENTOS S.A.
8397;MANGELS INDUSTRIAL S.A.
8427;MANUFATURA DE BRINQUEDOS ESTRELA S.A.
8451;MARCOPOLO S.A.
8486;MARISOL SA
8575;MAHLE-METAL LEVE S.A.
8656;METALURGICA GERDAU S.A.
8672;IGUATEMI S.A.
8745;METANOR SA METANOL DO NE
8753;METISA METALURGICA TIMBOENSE S.A.
8893;MONTEIRO ARANHA S.A.
9040;NADIR FIGUEIREDO IND E COM S.A.
9067;SUZANO HOLDING S.A.
9342;DIMED S.A. DISTRIBUIDORA DE MEDICAMENTOS
9393;PARANAPANEMA S.A. - EM RECUPERAÇÃO JUDICIAL
9415;SAO PAULO TURISMO S.A.
9512;PETROLEO BRASILEIRO S.A. PETROBRAS
9539;PETTENATI S.A. INDUSTRIA TEXTIL
9784;PRONOR PETROQUIMICA SA
9857;QGN PARTICIPAÇÕES SA
9954;ALFA HOLDINGS S.A.
